dom,Description,TLA,Status,Year of Census,Retired Year,AU-13,DHB ,RHA reg
0001,Awanui,001,C,1991,,500100,011,01
0002,Karikari Peninsula-Maungataniwha,001,C,1991,,500202,011,01
0003,Taipa Bay - Mangonui,001,C,1991,,500203,011,01
0004,Herekino,001,C,1991,,500204,011,01
0005,Ahipara,001,C,1991,,500205,011,01
0006,North Cape,001,C,1991,,500206,011,01
0007,Houhora,001,C,1991,,500207,011,01
0008,Motutangi - Kareponia,001,C,1991,,500208,011,01
0009,Kaitaia West,001,C,1991,,500301,011,01
0010,Kaitaia East,001,C,1991,,500302,011,01
0011,Kaeo,001,C,1991,,500401,011,01
0012,Mangapai - Matauri Bay,001,C,1991,,500402,011,01
0013,Kohukohu,001,C,1991,,500500,011,01
0014,Rawene,001,C,1991,,500600,011,01
0015,Omapere and Opononi,001,C,1991,,500700,011,01
0016,Hokianga North,001,C,1991,,500801,011,01
0017,Hokianga South,001,C,1991,,500802,011,01
0018,Kerikeri,001,R,1991,1996,,011,01
0019,Russell,001,C,1991,,501000,011,01
0020,Paihia,001,C,1991,,501100,011,01
0021,Haruru Falls,001,C,1991,,501200,011,01
0022,Opua East,001,C,1991,,501300,011,01
0023,Kawakawa,001,C,1991,,501400,011,01
0024,Moerewa,001,C,1991,,501500,011,01
0025,Waitangi - Te Tii,001,R,1991,1996,,011,01
0026,Pokere - Waihaha,001,R,1991,1996,,011,01
0027,Okaihau,001,C,1991,,501631,011,01
0028,Ohaeawai,001,C,1991,,501632,011,01
0029,Waihou Valley - Hupara,001,C,1991,,501633,011,01
0030,Ngapuhi - Kaikou,001,C,1991,,501634,011,01
0031,Kaikohe,001,C,1991,,501700,011,01
0032,Opouteke - Tanekaha,002,C,1991,,501802,011,01
0033,Bream Head,002,R,1991,2006,,011,01
0034,Marsden Point - Ruakaka,002,C,1991,,501806,011,01
0035,Ngunguru,002,C,1991,,501807,011,01
0036,Punaruku - Kiripaka,002,R,1991,1996,,011,01
0037,Wharekohe - Oakleigh,002,C,1991,,501809,011,01
0038,Maungatapere,002,C,1991,,501810,011,01
0039,Waiotira - Springfield,002,C,1991,,501811,011,01
0040,Waipu,002,R,1991,2006,,011,01
0041,Springs Flat,002,C,1991,,502001,011,01
0042,Three Mile Bush,002,C,1991,,502002,011,01
0043,Te Hihi,002,C,1991,,502003,011,01
0044,Abbey Caves,002,R,1991,1996,,011,01
0045,Otaika - Portland,002,C,1991,,502005,011,01
0046,Kamo West,002,C,1991,,502101,011,01
0047,Kamo East,002,C,1991,,502102,011,01
0048,Tikipunga West,002,C,1991,,502201,011,01
0049,Tikipunga East,002,C,1991,,502202,011,01
0050,Whau Valley,002,C,1991,,502300,011,01
0051,Otangarei,002,C,1991,,502400,011,01
0052,Western Hills,002,C,1991,,502500,011,01
0053,Kensington,002,C,1991,,502600,011,01
0054,Mairtown,002,C,1991,,502700,011,01
0055,Regent,002,C,1991,,502800,011,01
0056,Woodhill,002,C,1991,,502900,011,01
0057,Vinetown,002,C,1991,,503000,011,01
0058,Whangarei Central,002,C,1991,,503100,011,01
0059,Riverside,002,C,1991,,503200,011,01
0060,Horahora,002,C,1991,,503300,011,01
0061,Maunu,002,C,1991,,503400,011,01
0062,Raumanga East,002,C,1991,,503500,011,01
0063,Morningside,002,C,1991,,503600,011,01
0064,Parahaki,002,C,1991,,503700,011,01
0065,Raumanga West,002,C,1991,,503800,011,01
0066,Port - Limeburners,002,C,1991,,503900,011,01
0067,Sherwood Rise,002,R,1991,1996,,011,01
0068,Onerahi,002,C,1991,,504100,011,01
0069,Hikurangi,002,C,1991,,504300,011,01
0070,Te Kopuru,003,C,1991,,504400,011,01
0071,Kaipara Coastal,003,C,1991,,504501,011,01
0072,Maungaru,003,C,1991,,504502,011,01
0073,Dargaville,003,C,1991,,504600,011,01
0074,Maungaturoto,003,R,1991,1996,,011,01
0075,Ruawai,003,C,1991,,504800,011,01
0076,Kaiwaka,003,C,1991,,504900,011,01
0077,Rehia - Oneriri,003,R,1991,1996,,011,01
0078,Mangawhai,003,R,1991,2001,,011,01
0079,Wellsford,004,C,1991,,505300,021,01
0080,Leigh,004,C,1991,,505400,021,01
0081,Warkworth,004,C,1991,,505500,021,01
0082,Kumeu,004,R,1991,1996,,021,01
0083,Waipareira West,004,C,1991,,505700,021,01
0084,Orewa,004,R,1991,1996,,021,01
0085,Red Beach,004,R,1991,2013,,021,01
0086,Stanmore Bay,004,R,1991,2006,,021,01
0087,Manly,004,C,1991,,505902,021,01
0088,Army Bay,004,R,1991,2001,,021,01
0089,Silverdale South,004,R,1991,2013,,021,01
0090,Silverdale North,004,R,1991,2013,,021,01
0091,Dairy Flat - Redvale,004,C,1991,,506300,021,01
0092,Paremoremo West,004,C,1991,,506400,021,01
0093,Cape Rodney,004,R,1991,1996,,021,01
0094,Tauhoa - Puhoi,004,C,1991,,506613,021,01
0095,Tahekeroa,004,C,1991,,506614,021,01
0096,Kawau,004,C,1991,,506620,021,01
0097,Snells Beach,004,C,1991,,506631,021,01
0098,Algies Bay - Mahurangi,004,R,1991,2013,,021,01
0099,Parakai,004,R,1991,2013,,021,01
0100,Kerikeri,001,C,1996,,500900,011,01
0101,Waitangi -TeTii,001,R,1991,2006,,011,01
0102,Opua West,001,C,1996,,501612,011,01
0103,Bay of Islands,001,C,1996,,501613,011,01
0105,Pokere - Waihaha,001,C,1996,,501620,011,01
0106,Whangaruru Harbour,002,C,1996,,501813,011,01
0107,Punaruku - Kiripaka,002,C,1996,,501814,011,01
0108,Abbey Caves,002,C,1996,,502004,011,01
0109,Sherwood Rise,002,C,1996,,504000,011,01
0110,Maungaturoto,003,C,1996,,504700,011,01
0111,Rehia-Oneriri,003,C,1996,,505010,011,01
0112,Kumeu,004,R,1996,2013,,021,01
0113,Wairewa,004,C,1996,,505803,021,01
0114,Hatfields Beach,004,C,1996,,505804,021,01
0115,Orewa,004,C,1996,,505805,021,01
0116,Cape Rodney,004,R,1996,2013,,021,01
0117,Matheson Bay,004,C,1996,,506616,021,01
0118,Mangawhai,003,C,2001,,505021,011,01
0119,Mangawhai Heads,003,C,2001,,505022,011,01
0120,Army Bay,004,C,2001,,505904,021,01
0121,Gulf Harbour,004,R,2001,2006,,021,01
0122,Kapiro,001,C,2006,,501614,011,01
0123,Waitangi,001,C,2006,,501615,011,01
0124,Bream Bay,002,C,2006,,501815,011,01
0125,Waipu,002,C,2006,,501816,011,01
0126,Pataua-Whareora,002,C,2006,,501817,011,01
0127,Parua Bay,002,C,2006,,501818,011,01
0128,Bream Head,002,C,2006,,501819,011,01
0129,Vipond,004,C,2006,,505906,021,01
0130,Stanmore Bay West,004,C,2006,,505907,021,01
0131,Stanmore Bay East,004,C,2006,,505908,021,01
0132,Wade Heads,004,C,2006,,505909,021,01
0133,Gulf Harbour,004,C,2006,,505910,021,01
0134,Gulf Harbour Marina,004,C,2006,,505911,021,01
0135,Waimauku,004,C,2013,,505601,021,01
0136,Huapai,004,C,2013,,505602,021,01
0137,Riverhead Urban,004,C,2013,,505603,021,01
0138,Kumeu East,004,C,2013,,505604,021,01
0139,Kumeu West,004,C,2013,,505605,021,01
0140,Silverdale Central,004,C,2013,,505806,021,01
0141,Red Beach West,004,C,2013,,505807,021,01
0142,Red Beach East,004,C,2013,,505808,021,01
0143,Weiti River,004,C,2013,,506001,021,01
0144,Stillwater,004,C,2013,,506002,021,01
0145,Silverdale South,004,C,2013,,506003,021,01
0146,Silverdale North,004,C,2013,,506201,021,01
0147,Orewa West,004,C,2013,,506202,021,01
0148,Algies Bay,004,C,2013,,506633,021,01
0149,Mahurangi,004,C,2013,,506634,021,01
0150,Parakai Rural,004,C,2013,,506644,021,01
0151,Parakai Urban,004,C,2013,,506645,021,01
0152,Point Wells,004,C,2013,,506657,021,01
0153,Omaha,004,C,2013,,506658,021,01
0154,Matakana,004,C,2013,,506659,021,01
0155,Cape Rodney,004,C,2013,,506660,021,01
0156,Cape Rodney South,004,C,2013,,506661,021,01
0200,South Head,004,C,1991,,506642,021,01
0201,Kaukapakapa,004,R,1991,1996,,021,01
0202,Muriwai Beach,004,R,1991,2013,,021,01
0203,Rewiti,004,C,1991,,506652,021,01
0204,Riverhead,004,C,1991,,506653,021,01
0205,Helensville,004,R,1991,1996,,021,01
0206,Awaruku,005,C,1991,,506901,021,01
0207,Glamorgan,005,C,1991,,506902,021,01
0208,Torbay,005,C,1991,,506903,021,01
0209,Waiake,005,C,1991,,507000,021,01
0210,Browns Bay,005,C,1991,,507101,021,01
0211,Oaktree,005,C,1991,,507102,021,01
0212,Rothesay Bay,005,C,1991,,507200,021,01
0213,Murrays Bay,005,C,1991,,507300,021,01
0214,Mairangi Bay,005,C,1991,,507400,021,01
0215,Campbells Bay,005,C,1991,,507500,021,01
0216,Castor Bay,005,C,1991,,507710,021,01
0217,Crown Hill,005,C,1991,,507720,021,01
0218,Lake Pupuke,005,C,1991,,507800,021,01
